QueryText,Sector,aug_method
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
new variety of paddy?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL SUNDI OF BARSEEM?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
information regarding seed rate of moong bean,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SEED TREATMENT OF FODDER MAIZE?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF DAMPING OFF DISEASE IN BRINJAL(BAINGAN) CROP?,HORTICULTURE,original
Information regarding code for USSD Service?,AGRICULTURE,original
INFORMATION REGARDING USSD SERVICE CODE ?,AGRICULTURE,original
Information regarding code for USSD Service?,AGRICULTURE,original
HOW TO PEST CONTROL IN BARSEAM CROP ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST?,AGRICULTURE,original
STEM BORER IN BARSEEM ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF catterpillar IN BARSEEM CROP?,AGRICULTURE,original
STEM BORER IN BARSEEM?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
Information regarding how to control Weeds in Sugarcane?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
Information regarding code of USSD Service?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF FORAGE MAIZE(CHARE WALI MAKKI)?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,HORTICULTURE,original
Information regarding how to control Gram Caterpillars in Barseem?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST?,AGRICULTURE,original
USSD CODE ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING THE CONTROL OF caterpillar in barseem ?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF TOBACCO CATERPILLAR IN MOONG CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF YELLOW VEIN MOSAIC VIRUL DISEASE IN OKRA(BHINDI) CROP?,HORTICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
CONTACT NO OF KVK AMRITSAR?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
STEM BORER IN BARSEEM?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETY OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE,original
INFORMATION REGARDING PHONE NO. OF MANDI BOARED?,AGRICULTURE,original
Information regarding how to control Gram Caterpillars in Barseem?,AGRICULTURE,original
HOW TO PEST CONTROL IN BARSEAM CROP ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING USSD SERVICE CODE ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
Information regarding how to control Early Shoot Borer in Maize?,AGRICULTURE,original
information regarding weather?,HORTICULTURE,original
information regarding control of caterpiller?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING NUMBER OF USSD ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
insect in barseem?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING THE SERVICE OF USSD ?,AGRICULTURE,original
guava shoot borer?,HORTICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST ?,AGRICULTURE,original
information regarding weather forcasting?,AGRICULTURE,original
INFORMATION REGARDING CONTECT NUMBER OF PAU LUDHIANA?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST ?,AGRICULTURE,original
information regarding weather forcasting?,AGRICULTURE,original
INFORMATION REGARDING THE SERVICE OF USSD ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
Information regarding weather condition ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?",AGRICULTURE,original
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?",AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?",AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE,original
"INFORMATION REGARDING FOR WEATHER ?
.",AGRICULTURE,original
INFORMATION REGARDING PLANTING TIME OF POPLAR ?,HORTICULTURE,original
HOW TO PEST CONTROL IN BARSEAM CROP ?,AGRICULTURE,original
NEWLY RELEASED VARIETY OF PADDY,AGRICULTURE,original
CONTROL OF HOPPER IN GRAPE ?,HORTICULTURE,original
INFORMATION REGARDING NEW VARIETY OF RICE?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF FODDER MAIZE ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING CONTROL LEAF BORER?,AGRICULTURE,original
information regrding barseem caterpillar ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF BABUKUTA IN BARSEEM?,AGRICULTURE,original
CONTROL OF WEEDS IN SUGARCANE?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLAR IN BARSEEM?,AGRICULTURE,original
CONTROL OF DOWNEY MILDEW IN BOTTLE GOURD?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,AGRICULTURE,original
for control of fruit drop?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
VARIETIES OF MOONG?,AGRICULTURE,original
information regarding sowing time of makki?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING OF WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,HORTICULTURE,original
INFORMATION REGARDING SOWING TIME OF PADDY NURSERY?,AGRICULTURE,original
INFORMATION REGARDING THE SERVICE OF USSD ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF RED ROT ATTACK IN SUGARCANE CROP?,AGRICULTURE,original
Information regarding how to control Caterpillars in Radish?,HORTICULTURE,original
SEED RATE OF FODDER MAIZE,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
Information regarding Newly Recommended variety of Paddy?,AGRICULTURE,original
HOW TO PEST CONTROL IN BARSEAM CROP ?,AGRICULTURE,original
HOW TO PEST CONTROL IN BARSEAM CROP ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding weather ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,HORTICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF FRUIT CRANKING IN CITRUS?,HORTICULTURE,original
how to control fruit droping pomegranate plant ?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
Information regarding how to control Gram Caterpillars in Barseem?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SORGHUM(JWAR)?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING MSP OF WHEAT ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE  WEATHER   ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE  WEATHER   ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,AGRICULTURE,original
INFORMATION REGARDING THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
Information regarding weather of Amritsar?,AGRICULTURE,original
CATERPILLAR IN GREEN GRAM ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
information regarding how to control fungus in bottle gourd?,HORTICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE NEW VARIETIE OF PADDY ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
Information regarding the fungal disease in Cucurbits?,HORTICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
information regarding weather forecast ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN PADDY(JHONA) CROP?,AGRICULTURE,original
Information regarding code for USSD Service?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI)?,HORTICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
Information regarding how to control Fruit Droping in Orange?,HORTICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
information regarding weather forecast ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF TOBACCO CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF FLOWER DROPING IN  TOMATO?,HORTICULTURE,original
INFORMATION REGARDING FOR THE USSD ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLER IN BARSEEM ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECASTING?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
insect in barseem?,AGRICULTURE,original
INFORMATION REGARDING FOR THE WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding weather forecast ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
"INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?
""",AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE ?,AGRICULTURE,original
Information regarding Market Rate of Wheat?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECAST?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
Information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING SOWING TIME OF PADDY NURSERY?,AGRICULTURE,original
information regarding weather?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
CONTROL OF BLACK BUG IN SUGARCANE ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF PADDY?,AGRICULTURE,original
information regarding about weather?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF SUNDI IN MAIZE?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN PADDY(JHONA) CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECASTING?,AGRICULTURE,original
INFORMATION REGARDING  WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER FORECASTING?,AGRICULTURE,original
Information regarding newly recommended variety of Paddy?,AGRICULTURE,original
INFORMATION REGARDING VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING OF WEATHER'?,AGRICULTURE,original
INFORMATION REGARDING WEATHERCONDITION.,AGRICULTURE,original
INFORMATION REGARDING FOR THE WEATHER?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SEED RATE OF SQUASH MELON(TINDA)?,HORTICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,AGRICULTURE,original
Information regarding varieties of Bhindi?,HORTICULTURE,original
INFORMATION REGARDING WEATHER CONDITION ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SOWING TIME OF CUCUMBER(KHEERA)?,HORTICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF CABBAGE(BANDGOBHI)?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETY OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETY OF PADDY?,AGRICULTURE,original
INFORMATION REGARDING CONTACT NO OF POMOLOGIST?,HORTICULTURE,original
INFORMATION REGARDING THE SUITABLE VARIETIES OF PADDY?,AGRICULTURE,original
